06MAGNA,20201229,1.5200,1.5700,1.4500,1.5600,88020
11BIT,20201229,458.5000,483.0000,458.5000,481.0000,5273
4FUNMEDIA,20201229,4.9000,4.9000,4.5500,4.7500,8196
ABPL,20201229,31.5000,32.3000,31.0000,32.2000,3856
ACAUTOGAZ,20201229,34.6000,34.9000,34.6000,34.9000,1728
ACTION,20201229,6.1800,6.4000,6.1000,6.1000,138598
ADIUVO,20201229,4.6300,4.6300,4.4500,4.5000,15047
AGORA,20201229,7.1800,7.4000,7.0600,7.3000,29756
AGROTON,20201229,4.3900,4.5900,4.3100,4.4500,11733
AIGAMES,20201229,12.6000,13.4000,12.5000,13.2000,18894
AILLERON,20201229,11.0000,11.5000,11.0000,11.3500,6819
AIRWAY,20201229,1.5200,1.6400,1.5050,1.6400,372534
ALIOR,20201229,17.1250,17.3100,17.0000,17.1150,256443
ALLEGRO,20201229,87.1000,87.3500,85.0200,85.9600,511731
ALTA,20201229,1.2500,1.2900,1.2500,1.2900,2238
ALTUSTFI,20201229,0.9400,0.9800,0.9100,0.9500,223777
ALUMETAL,20201229,47.0000,47.5000,46.7000,47.0000,5192
AMBRA,20201229,19.1000,19.2000,19.0000,19.1500,7595
AMICA,20201229,141.0000,144.2000,140.0000,144.0000,44751
AMREST,20201229,28.1000,29.5000,27.9000,29.3000,363298
APATOR,20201229,22.6000,23.3000,22.6000,23.2000,7346
APLISENS,20201229,11.2000,11.2000,10.8000,11.2000,7
APSENERGY,20201229,1.7400,1.8100,1.7400,1.8000,13600
ARCHICOM,20201229,23.5000,23.5000,23.0000,23.4000,5898
ARCTIC,20201229,5.4400,5.6400,5.3600,5.6400,125383
ARTERIA,20201229,3.8600,3.8600,3.8600,3.8600,25
ARTIFEX,20201229,8.2000,8.4800,8.2000,8.4200,10195
ASBIS,20201229,7.8900,8.1700,7.8300,7.9000,296231
ASMGROUP,20201229,1.5000,1.5000,1.5000,1.5000,60
ASSECOBS,20201229,37.4000,37.8000,36.8000,37.4000,897
ASSECOPOL,20201229,67.0000,68.8000,66.8000,67.4000,88232
ASSECOSEE,20201229,41.3000,42.2000,41.1000,42.2000,39809
ASTARTA,20201229,25.8000,27.0000,25.8000,26.5000,36538
ATAL,20201229,32.0000,32.5000,32.0000,32.5000,741
ATENDE,20201229,3.8000,4.4400,3.8000,4.2000,150855
ATLANTAPL,20201229,7.0000,7.2000,6.9800,7.2000,3870
ATLASEST,20201229,1.5400,1.6300,1.5400,1.6300,8935
ATMGRUPA,20201229,4.1000,4.1000,3.9200,4.1000,5950
ATREM,20201229,2.2200,2.3000,2.1600,2.2300,24412
AUTOPARTN,20201229,8.0000,8.0800,7.9600,8.0400,20238
BAHOLDING,20201229,0.6710,0.7700,0.6250,0.7600,11339424
BBIDEV,20201229,3.5400,3.6500,3.5400,3.6300,1709
BEDZIN,20201229,9.8000,9.8000,9.8000,9.8000,740
BENEFIT,20201229,834.0000,844.0000,824.0000,840.0000,6813
BEST,20201229,17.4000,17.4000,17.4000,17.4000,500
BETACOM,20201229,9.7000,9.7000,9.3000,9.3000,255
BETAM40TR,20201229,55.5100,56.1000,55.4000,55.9600,20785
BETAW20LV,20201229,41.1100,41.6100,40.5000,41.1000,26502
BETAW20ST,20201229,358.1000,363.4000,358.1000,361.8000,834
BETAW20TR,20201229,34.6350,34.6350,34.1100,34.2250,13973
BIK,20201229,13.6000,14.5000,13.0500,14.5000,2752
