06MAGNA,20201201,1.4800,1.5200,1.4600,1.4900,42465
11BIT,20201201,476.0000,481.0000,473.5000,480.0000,9398
4FUNMEDIA,20201201,4.8000,4.8000,4.6600,4.6600,1593
ABPL,20201201,31.5000,32.2000,31.2000,32.2000,2077
ACAUTOGAZ,20201201,37.0000,37.0000,36.6000,36.7000,103
ACTION,20201201,5.5200,5.8800,5.1000,5.4800,162420
ADIUVO,20201201,5.0000,5.0600,4.8600,4.9000,3293
AGORA,20201201,6.7200,6.8800,6.5800,6.8800,7709
AGROTON,20201201,4.8900,4.8900,4.5400,4.6400,31091
AIGAMES,20201201,16.2000,16.2000,15.7000,16.0000,8624
AILLERON,20201201,8.0800,8.0800,7.7200,7.7800,29995
AIRWAY,20201201,1.6650,1.9850,1.6050,1.7800,1316027
ALIOR,20201201,16.6100,17.2300,16.5800,17.1000,383104
ALLEGRO,20201201,78.5000,78.5000,75.0100,75.0100,1038188
ALTA,20201201,1.3000,1.3100,1.2400,1.3000,3388
ALTUSTFI,20201201,0.8260,0.8480,0.8020,0.8320,63638
ALUMETAL,20201201,43.9000,43.9000,42.3000,43.5000,2545
AMBRA,20201201,17.8000,18.9500,17.3500,18.6500,20099
AMICA,20201201,147.2000,149.0000,143.0000,144.8000,7327
AMREST,20201201,24.3500,26.0000,24.3000,24.9500,194845
APATOR,20201201,22.6000,22.6000,22.4000,22.4000,2477
APLISENS,20201201,11.7000,11.7000,10.8000,11.1000,111
APSENERGY,20201201,1.7450,1.7450,1.6300,1.7000,21456
ARCHICOM,20201201,20.4000,20.4000,19.7000,20.2000,5166
ARCTIC,20201201,4.8100,4.8400,4.7600,4.7600,71950
ARTERIA,20201201,3.9000,4.0800,3.9000,4.0800,858
ARTIFEX,20201201,9.1800,9.1800,8.4000,8.5800,14298
ASBIS,20201201,7.2100,7.2700,7.1200,7.1300,733776
ASMGROUP,20201201,1.6000,1.6000,1.5600,1.5600,5123
ASSECOBS,20201201,33.4000,34.6000,33.4000,34.6000,357
ASSECOPOL,20201201,66.1000,67.0000,65.5000,65.5000,108025
ASSECOSEE,20201201,40.0000,40.3000,39.0000,39.7000,2912
ASTARTA,20201201,24.2000,24.5000,24.0000,24.3000,11360
ATAL,20201201,32.4000,32.5000,31.0000,32.2000,1026
ATENDE,20201201,3.5600,3.5600,3.4200,3.5200,1136
ATLANTIS,20201201,0.7760,0.7900,0.7700,0.7900,13968
ATMGRUPA,20201201,4.0000,4.0000,3.8400,3.9600,1133
ATREM,20201201,2.1300,2.2800,2.1100,2.1900,42395
AUTOPARTN,20201201,7.8600,7.9000,7.7000,7.7000,20540
BAHOLDING,20201201,0.6800,0.8000,0.6800,0.7580,948153
BBIDEV,20201201,3.5000,3.5000,3.4100,3.4200,1525
BEDZIN,20201201,9.7500,10.2000,9.7500,10.2000,675
BENEFIT,20201201,745.0000,754.0000,712.0000,720.0000,14120
BETACOM,20201201,10.9500,10.9500,10.9500,10.9500,25
BETAM40TR,20201201,52.5000,52.7500,51.3700,51.3700,3035
BETAW20LV,20201201,34.8600,35.5300,34.8000,35.0000,1405
BETAW20ST,20201201,396.6000,396.7000,393.1000,396.6000,1023
BETAW20TR,20201201,31.5800,31.8600,31.4800,31.5400,9022
BIK,20201201,12.0000,12.0000,11.9000,11.9000,25
BIOMEDLUB,20201201,10.9500,11.4500,10.1000,11.1000,2648490
BIOTON,20201201,4.5000,4.5000,4.3500,4.3600,70967
BNPPBSK0725,20201201,957.0000,957.0000,957.0000,957.0000,11
BNPPBSK1024,20201201,1018.0000,1018.0000,1018.0000,1018.0000,446
BNPPENDL0622,20201201,994.0000,994.0000,994.0000,994.0000,10
BNPPPL,20201201,56.8000,57.8000,56.0000,57.0000,2015
BNPPSOLE1221,20201201,1028.0000,1028.0000,1028.0000,1028.0000,250
BNPPSX5E0222,20201201,1011.0000,1011.0000,1011.0000,1011.0000,99
BNPPSX7E0321,20201201,750.5000,750.5000,750.5000,750.5000,250
BNPPSXPP0421,20201201,1008.5000,1009.5000,1008.5000,1009.5000,700
BOGDANKA,20201201,18.6000,18.8400,18.1200,18.1200,14542
BOOMBIT,20201201,16.9800,17.9800,16.4400,17.7000,27356
BORYSZEW,20201201,2.8600,2.9000,2.8050,2.8700,152741
BOS,20201201,5.8000,5.8000,5.5800,5.7000,4050
BOWIM,20201201,2.3600,2.3800,2.3400,2.3800,8300
BRASTER,20201201,0.5000,0.5000,0.4800,0.4800,127368
BUDIMEX,20201201,275.0000,275.0000,256.0000,256.0000,13538
BUMECH,20201201,2.0000,2.0500,1.9550,2.0500,11464
CCC,20201201,62.8000,63.5600,62.3000,62.6000,223674
CDPROJEKT,20201201,392.4000,418.2000,392.4000,406.0000,938472
CDRL,20201201,16.2500,16.6500,16.2000,16.6500,2302
CEZ,20201201,80.0000,80.0000,79.5000,79.5000,25127
CFI,20201201,0.2130,0.2220,0.2070,0.2200,107348
CIECH,20201201,29.6500,30.9000,29.6500,30.9000,54874
CIGAMES,20201201,1.2900,1.2900,1.2100,1.2100,1184146
