06MAGNA,20201207,1.5100,1.5400,1.3900,1.4900,58172
11BIT,20201207,477.0000,497.5000,473.5000,487.0000,8914
4FUNMEDIA,20201207,4.8700,4.8700,4.6500,4.6500,314
ABPL,20201207,33.9000,33.9000,32.6000,33.0000,4060
ACAUTOGAZ,20201207,36.4000,36.5000,36.2000,36.4000,328
ACTION,20201207,5.1000,5.1800,5.0600,5.1600,10851
ADIUVO,20201207,5.3600,5.3600,5.1400,5.2000,3405
AGORA,20201207,7.0000,7.0800,6.9200,6.9600,20187
AGROTON,20201207,4.6500,4.6500,4.3500,4.6500,43586
AIGAMES,20201207,14.8000,15.6000,14.8000,15.2000,23053
AILLERON,20201207,8.6600,9.5000,8.3800,8.9600,108056
AIRWAY,20201207,1.8350,1.8350,1.6800,1.7800,880977
ALIOR,20201207,17.2700,17.6000,17.0400,17.6000,499550
ALLEGRO,20201207,75.5000,75.5000,72.6000,74.4500,2401460
ALTA,20201207,1.2100,1.3100,1.2100,1.3000,23818
ALTUSTFI,20201207,0.8540,0.8540,0.8100,0.8200,64570
ALUMETAL,20201207,44.0000,44.8000,43.8000,44.5000,2475
AMBRA,20201207,18.7000,18.9000,18.6000,18.7500,3177
AMICA,20201207,147.0000,149.8000,146.0000,149.6000,1175
AMREST,20201207,26.1000,26.1000,25.2500,25.8000,110269
APATOR,20201207,22.4000,22.5000,22.0000,22.4000,4468
APLISENS,20201207,11.1000,11.1000,10.8000,10.8000,116
APSENERGY,20201207,1.7200,1.7200,1.6800,1.7100,8493
ARCHICOM,20201207,20.7000,20.7000,20.0000,20.4000,3010
ARCTIC,20201207,5.2000,5.3000,5.1600,5.2600,102212
ARTERIA,20201207,4.0600,4.0600,4.0600,4.0600,10
ARTIFEX,20201207,8.3000,8.4600,8.0000,8.2000,20338
ASBIS,20201207,6.8400,7.0100,6.8400,6.8800,96915
ASSECOBS,20201207,35.2000,35.2000,34.2000,34.6000,210
ASSECOPOL,20201207,67.2000,67.2000,66.1000,66.8000,51061
ASSECOSEE,20201207,40.3000,40.3000,39.3000,39.4000,11919
ASTARTA,20201207,24.9000,25.9000,24.9000,25.2000,15520
ATAL,20201207,30.8000,32.0000,30.4000,30.4000,3962
ATENDE,20201207,3.4000,3.5400,3.4000,3.4800,19644
ATLANTAPL,20201207,6.1200,6.1200,6.1200,6.1200,10
ATLANTIS,20201207,0.7160,0.7360,0.6920,0.7340,8772
ATLASEST,20201207,1.2950,1.2950,1.2950,1.2950,3414
ATMGRUPA,20201207,4.1400,4.1400,3.9600,4.1000,1437
ATREM,20201207,2.1900,2.2200,2.1300,2.2200,24950
AUTOPARTN,20201207,7.5200,7.9000,7.5200,7.8000,41521
BAHOLDING,20201207,0.7100,0.7580,0.7010,0.7380,570889
BBIDEV,20201207,3.8800,3.8800,3.7700,3.8700,8969
BEDZIN,20201207,9.9500,9.9500,9.9500,9.9500,1061
BENEFIT,20201207,769.0000,790.0000,764.0000,790.0000,446
BETACOM,20201207,10.7000,10.7000,9.7000,10.2000,2255
BETAM40TR,20201207,53.5900,53.6800,53.1100,53.4000,4629
BETAW20LV,20201207,38.5000,40.0000,38.2500,40.0000,21962
BETAW20ST,20201207,375.9000,377.0000,372.0000,373.0000,4123
BETAW20TR,20201207,33.1500,33.5000,32.8700,33.3600,9368
BIK,20201207,12.0000,12.0000,11.8000,11.9000,170
BIOMEDLUB,20201207,11.3500,11.5000,10.8000,10.8500,1298709
BIOTON,20201207,4.4400,4.5500,4.4400,4.4800,53771
BNPPBNK20622,20201207,1061.0000,1061.0000,1061.0000,1061.0000,200
BNPPBSK1024,20201207,1007.0000,1015.0000,1007.0000,1015.0000,600
BNPPBSK10521,20201207,949.5000,949.5000,949.5000,949.5000,70
BNPPBSK1124,20201207,1025.5000,1026.5000,1025.5000,1026.5000,423
BNPPENDL0622,20201207,992.5000,992.5000,992.5000,992.5000,131
BNPPGOLD1222,20201207,1003.5000,1003.5000,1003.5000,1003.5000,26
BNPPPL,20201207,57.0000,57.0000,54.0000,55.0000,4330
BNPPSOGO1021,20201207,1053.0000,1053.0000,1053.0000,1053.0000,110
BNPPSOLED1221,20201207,1055.0000,1055.0000,1055.0000,1055.0000,100
BNPPSX5E0222,20201207,1010.0000,1010.0000,1010.0000,1010.0000,40
BNPPSXPP0421,20201207,1041.0000,1042.5000,1040.0000,1041.0000,1935
BNPPSXPP0624,20201207,111.4000,111.4000,111.4000,111.4000,1400
BOGDANKA,20201207,18.7000,19.5600,18.6600,19.3000,65067
BOOMBIT,20201207,16.8600,17.4000,16.6000,17.2000,46172
BORYSZEW,20201207,2.8800,2.8850,2.8550,2.8700,107479
BOS,20201207,6.1400,6.1400,5.8600,6.0400,40675
BOWIM,20201207,2.2800,2.3600,2.2800,2.3600,8983
BPHFIZMLI,20201207,95.0000,95.0000,95.0000,95.0000,60
BRASTER,20201207,0.4500,0.4865,0.4430,0.4560,312098
BUDIMEX,20201207,266.5000,275.0000,266.5000,271.0000,14892
BUMECH,20201207,1.9600,1.9950,1.9550,1.9850,10451
CCC,20201207,69.5200,71.8000,66.7400,71.3800,508477
CDPROJEKT,20201207,446.5000,464.2000,401.9000,425.1000,1427636
CDRL,20201207,19.2500,19.8500,17.4000,18.7000,9420
CEZ,20201207,80.5000,80.5000,78.0000,79.1000,972
CFI,20201207,0.2200,0.2450,0.2130,0.2450,360207
CIECH,20201207,29.9500,30.8000,29.6500,30.3500,95838
CIGAMES,20201207,1.2600,1.3300,1.2580,1.2900,2463677
CITYSERV,20201207,7.5500,7.7500,7.5500,7.7000,1124
CLNPHARMA,20201207,42.1500,42.2000,41.1000,41.2500,10586
CNT,20201207,13.4000,13.5000,13.4000,13.5000,462
COALENERG,20201207,0.4980,0.5000,0.4860,0.5000,8123
COGNOR,20201207,1.2700,1.2800,1.2350,1.2500,117428
COMARCH,20201207,198.0000,198.0000,193.5000,196.0000,633
COMP,20201207,51.4000,53.8000,51.4000,53.8000,1618
COMPERIA,20201207,2.9200,3.0000,2.9200,3.0000,620
