06MAGNA,20201215,1.5200,1.5200,1.4600,1.4800,34250
11BIT,20201215,465.0000,475.5000,454.0000,454.0000,9342
4FUNMEDIA,20201215,4.6100,5.0200,4.6100,4.8700,5557
ABPL,20201215,31.2000,31.9000,31.2000,31.5000,1779
ACAUTOGAZ,20201215,36.2000,36.2000,36.0000,36.0000,987
ACTION,20201215,4.9100,5.0800,4.9100,4.9900,12881
ADIUVO,20201215,4.8200,4.9400,4.8200,4.9300,610
AGORA,20201215,6.9000,7.0000,6.8600,6.9000,15306
AGROTON,20201215,4.3500,4.6800,4.1700,4.3200,19693
AIGAMES,20201215,13.7000,13.7000,12.8000,13.0000,10992
AILLERON,20201215,11.4000,13.7500,11.4000,12.3000,60545
AIRWAY,20201215,1.6200,1.7650,1.5700,1.7300,875179
ALIOR,20201215,17.3000,17.5700,17.1200,17.4250,251429
ALLEGRO,20201215,83.6500,86.4000,83.0100,84.9200,1833526
ALTA,20201215,1.3400,1.3400,1.2500,1.2700,8458
ALTUSTFI,20201215,0.8900,0.9180,0.8400,0.8780,40779
ALUMETAL,20201215,45.4000,46.5000,45.4000,46.4000,1860
AMBRA,20201215,18.9000,18.9000,18.2500,18.3000,7868
AMICA,20201215,140.2000,143.6000,140.0000,141.0000,4264
AMREST,20201215,25.4000,26.2500,25.1000,26.1000,141613
APATOR,20201215,22.4000,22.4000,22.2000,22.3000,4773
APLISENS,20201215,11.1000,11.2000,10.2000,11.1000,4592
APSENERGY,20201215,1.6600,1.8500,1.6400,1.8500,58000
ARCHICOM,20201215,20.5000,20.5000,20.1000,20.5000,70684
ARCTIC,20201215,5.3600,5.4800,5.1800,5.1800,141211
ARTERIA,20201215,4.0200,4.0200,3.9000,4.0000,157
ARTIFEX,20201215,8.3600,8.7800,8.2200,8.6000,14967
ASBIS,20201215,6.3000,6.6400,6.3000,6.5400,176708
ASSECOBS,20201215,35.6000,35.8000,35.0000,35.2000,2458
ASSECOPOL,20201215,66.0000,66.8000,66.0000,66.4000,59890
ASSECOSEE,20201215,38.7000,39.4000,38.7000,39.0000,56165
ASTARTA,20201215,22.8000,24.1000,22.8000,23.0000,44251
ATAL,20201215,31.2000,31.8000,31.2000,31.8000,1872
ATENDE,20201215,3.5200,3.5200,3.5200,3.5200,2
ATLANTAPL,20201215,6.2200,6.2600,6.2200,6.2600,815
ATLASEST,20201215,1.3350,1.5000,1.3350,1.5000,30541
ATMGRUPA,20201215,4.0700,4.0700,3.8000,3.9800,2821
ATREM,20201215,2.1500,2.1500,2.1000,2.1000,15962
AUGA,20201215,2.1000,2.1000,2.1000,2.1000,2500
AUTOPARTN,20201215,7.5800,7.7600,7.5800,7.7200,8923
BAHOLDING,20201215,0.8380,0.8390,0.7980,0.7980,1879853
BBIDEV,20201215,3.7500,3.7500,3.6500,3.7000,4997
BEDZIN,20201215,9.9500,9.9500,9.9500,9.9500,611
BENEFIT,20201215,745.0000,777.0000,745.0000,777.0000,1513
BEST,20201215,17.4000,17.4000,17.4000,17.4000,30
BETACOM,20201215,9.8400,9.8400,9.8400,9.8400,62
BETAM40TR,20201215,52.5100,52.5300,52.1500,52.5200,2445
BETAW20LV,20201215,38.1600,39.1700,38.0300,38.6000,2815
BETAW20ST,20201215,376.9000,378.0000,370.6000,372.2000,3147
BETAW20TR,20201215,33.0300,33.4600,32.9000,33.3250,11938
BIK,20201215,14.8000,15.0000,14.1500,15.0000,466
BIOMEDLUB,20201215,10.0500,10.9000,9.8000,10.7000,1464566
BIOTON,20201215,4.2450,4.2850,4.2000,4.2650,61479
BNPPBSK1124,20201215,1005.5000,1005.5000,1005.5000,1005.5000,50
BNPPENDL0422,20201215,994.5000,994.5000,994.5000,994.5000,50
BNPPENDL1121,20201215,1018.0000,1018.0000,1018.0000,1018.0000,150
BNPPGOLD0223,20201215,997.5000,997.5000,997.5000,997.5000,50
BNPPPL,20201215,55.0000,56.6000,54.8000,56.6000,854
BNPPSOGO1021,20201215,1054.0000,1054.0000,1054.0000,1054.0000,10
BNPPSXPP0221,20201215,1024.5000,1030.0000,1024.5000,1030.0000,390
BNPPSXPP0421,20201215,1052.5000,1054.5000,1052.5000,1054.5000,403
BNPPSXPP0624,20201215,112.4000,112.4000,112.4000,112.4000,1870
BOGDANKA,20201215,18.8400,19.2000,18.8400,18.9600,24524
BOOMBIT,20201215,16.0000,16.3000,15.8600,16.2000,10030
BORYSZEW,20201215,3.0350,3.0400,3.0200,3.0200,45972
BOS,20201215,5.9600,6.0800,5.9600,6.0400,3984
BOWIM,20201215,2.4200,2.4800,2.3000,2.4000,8838
BRASTER,20201215,0.4300,0.4480,0.4245,0.4345,73199
BUDIMEX,20201215,278.0000,289.5000,274.5000,289.5000,6504
BUMECH,20201215,1.8150,1.8600,1.8100,1.8300,8033
CCC,20201215,70.1400,74.5000,69.5000,71.8600,410247
CDPROJEKT,20201215,303.8000,316.8000,294.0000,300.0000,2655726
CDRL,20201215,15.3000,16.2500,15.3000,16.0000,1059
CELTIC,20201215,6.6500,6.6500,6.6500,6.6500,900
